plate	cycle	well	tile
1	3	A2	44
1	4	A2	44
1	5	A2	44
1	6	A2	44
1	7	A2	44
1	8	A2	44
1	9	A2	44
1	10	A2	44
1	11	A2	44
1	12	A2	44
1	1	A2	45
1	2	A2	45
1	3	A2	45
1	4	A2	45
1	5	A2	45
1	6	A2	45
1	7	A2	45
1	8	A2	45
1	9	A2	45
1	10	A2	45
1	11	A2	45
1	12	A2	45
1	1	A2	46
1	2	A2	46
1	3	A2	46
1	4	A2	46
1	5	A2	46
1	6	A2	46
1	7	A2	46
1	8	A2	46
1	9	A2	46
1	10	A2	46
1	11	A2	46
1	12	A2	46
1	1	A2	47
1	2	A2	47
1	3	A2	47
1	4	A2	47
1	5	A2	47
1	6	A2	47
1	7	A2	47
1	8	A2	47
1	9	A2	47
1	10	A2	47
1	11	A2	47
1	12	A2	47
1	1	A2	48
1	2	A2	48
1	3	A2	48
1	4	A2	48
1	5	A2	48
1	6	A2	48
1	7	A2	48
1	8	A2	48
1	9	A2	48
1	10	A2	48
1	11	A2	48
1	12	A2	48
1	1	A2	49
1	2	A2	49
1	3	A2	49
1	4	A2	49
1	5	A2	49
1	6	A2	49
1	7	A2	49
1	8	A2	49
1	9	A2	49
1	10	A2	49
1	11	A2	49
1	12	A2	49
1	1	A2	50
1	2	A2	50
1	3	A2	50
1	4	A2	50
1	5	A2	50
1	6	A2	50
1	7	A2	50
1	8	A2	50
1	9	A2	50
1	10	A2	50
1	11	A2	50
1	12	A2	50
1	1	A2	51
1	2	A2	51
1	3	A2	51
1	4	A2	51
1	5	A2	51
1	6	A2	51
1	7	A2	51
1	8	A2	51
1	9	A2	51
1	10	A2	51
1	11	A2	51
1	12	A2	51
1	1	A2	52
1	2	A2	52
1	3	A2	52
1	4	A2	52
1	5	A2	52
1	6	A2	52
1	7	A2	52
1	8	A2	52
1	9	A2	52
1	10	A2	52
1	11	A2	52
1	12	A2	52
1	1	A2	53
1	2	A2	53
1	3	A2	53
1	4	A2	53
1	5	A2	53
1	6	A2	53
